idS,tsO,tsD,price,tt,dis,vel,lonO,latO,lonD,latD
A0H4,03/01/2022 18:10:03,03/02/2021 18:17:44,2.1525,461,1715.33675092463,13.3952544540752,12.466222,41.867388,12.47066,41.853908
A0H4,13/01/2022 18:21:13,13/02/2021 18:25:33,1.65,260,1234.47204422312,17.0926898430893,12.471143,41.923692,12.467502,41.934306
A0H4,14/01/2022 13:39:54,14/02/2021 13:48:03,2.2225,489,2221.48153610434,16.3544652964736,12.467524,41.934342,12.48633,41.92827
A0H4,14/01/2022 14:35:03,14/02/2021 14:35:13,1.025,10,3.71293966880796,1.33665828077087,12.486283,41.928267,12.486276,41.9283
